pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Florida Gaming,FLORIDA GAMING CORP,6694,FGMGQ,100.0,19-May-2014,2014,155.00,Corporate Divestiture,Leisure Facilities,,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Friendly's Ice Cream,FRIENDLY ICE CREAM CORP,66004,FRN.2,94.73684210526316,21-Jul-2016,2016,155.00,,Restaurants and Bars,Dean Foods (Gregg Tanner),Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Interthinx,INTERTAIN GROUP LTD,19788,INGGF,84.21052631578947,12-Mar-2014,2014,155.00,Corporate Divestiture,Other Commercial Services,First American Financial (NYS: FAF) (Dennis Gilmore),Business Products and Services (B2B),Commercial Services
Jackson Products,JACKSON PRODUCTS INC,148263,0152A,100.0,14-Apr-2009,2009,155.00,,Other Commercial Products,Kimberly-Clark (NAS: KMB) (Jan Spencer),Business Products and Services (B2B),Commercial Products
KPAQ Industries,KATY INDUSTRIES INC,6349,KATYQ,86.66666666666667,30-Sep-2015,2015,155.00,,Other Commercial Products,Hood Container (Charles Hodges),Business Products and Services (B2B),Commercial Products
Layer 7 Technologies,LARK TECHNOLOGIES INC,62027,3LRKT,86.48648648648648,07-Jun-2013,2013,155.00,,Network Management Software,CA Technologies (Michael Denning),Information Technology,Software
Whitehall Industries,REXHALL INDUSTRIES INC,15854,REXLQ,84.21052631578947,22-Mar-2016,2016,155.00,Corporate Divestiture,Industrial Supplies and Parts,UACJ (TKS: 5741),Business Products and Services (B2B),Commercial Products
SeaHawk Drilling,SEAHAWK DRILLING INC,183380,HAWKQ,100.0,27-Apr-2011,2011,154.50,,Oil and Gas Equipment,Hercules Offshore (John Rynd),Energy,Energy Equipment
Anue Systems,BAE SYSTEMS PLC,63477,BAESY,86.95652173913044,01-Jun-2012,2012,154.40,,Business/Productivity Software,Ixia (Vic Alston),Information Technology,Software
Netli,NETFLIX INC,147579,NFLX,83.33333333333334,13-Mar-2007,2007,154.40,,Connectivity Products,Akamai Technologies (NAS: AKAM),Information Technology,Communications and Networking
454 Life Sciences,CM LIFE SCIENCES INC,36868,CMLF,84.84848484848484,29-Mar-2007,2007,154.00,Corporate Divestiture,Discovery Tools (Healthcare),Roche (SWX: ROG),Healthcare,Pharmaceuticals and Biotechnology
Viking Energy Group,ENERGY VISION INTL INC,26076,EGVI.1,84.61538461538461,23-Dec-2020,2020,153.80,,Energy Exploration,Camber Energy,Energy,"Exploration, Production and Refining"
Gb&T Bancshares,MBT BANCSHARES INC,21194,MBKL,89.65517241379311,01-May-2008,2008,153.70,,Holding Companies,SunTrust Bank (James Wells),Financial Services,Other Financial Services
Actividentity,ACTIVIDENTITY CORP,230796,ACTI,100.0,17-Dec-2010,2010,153.60,,Other Commercial Services,Assa Abloy (STO: ASSA B),Business Products and Services (B2B),Commercial Services
Carefx,CAREDX INC,179834,CDNA,83.33333333333334,04-Apr-2011,2011,153.30,,IT Consulting and Outsourcing,L3 Harris Technologies (NYS: LHX),Information Technology,IT Services
Aegerion Pharmaceuticals,AEGERION PHARMACEUTICALS INC,177313,AEGR,100.0,24-Sep-2019,2019,153.00,,Drug Discovery,Amryt Pharma (Joseph Wiley),Healthcare,Pharmaceuticals and Biotechnology
Redwood Empire Bancorporation,REDWOOD EMPIRE BANCORP,24500,REBC,86.27450980392157,01-Mar-2005,2005,153.00,,Holding Companies,Westamerica Bank (NAS: WABC) (David Payne),Financial Services,Other Financial Services
Healthy Pet,HEALTH NET INC,29710,HNT,85.71428571428572,01-Jun-2007,2007,152.90,,Hospitals/Inpatient Services,VCA County Veterinary Hospital,Healthcare,Healthcare Services
Tranter,TRANE INC,1567,TT.2,83.33333333333334,06-Mar-2006,2006,152.46,Corporate Divestiture,Electrical Equipment,Alfa Laval (STO: ALFA) (Anders Lindmark),Business Products and Services (B2B),Commercial Products
Tapingo,TAOPING INC,175342,TAOP,85.71428571428572,07-Nov-2018,2018,152.05,,"Other Restaurants, Hotels and Leisure",Grubhub (Matthew Maloney),,
Tribridge,TRUBRIDGE INC,147849,TBRG,88.88888888888889,01-Jul-2017,2017,152.00,,IT Consulting and Outsourcing,DXC Technology (NYS: DXC) (John Lawrie),Information Technology,IT Services
Peak Medical Corp,PACE MEDICAL INC,13593,PMDL,83.33333333333334,09-Dec-2005,2005,151.80,,Holding Companies,Sun Healthcare Group (Richard Matros),Financial Services,Other Financial Services
Antaya Technologies,PAGAYA TECHNOLOGIES LTD,38041,PGY,89.47368421052632,31-Oct-2014,2014,151.00,,Industrial Supplies and Parts,Aptiv (NYS: APTV) (Rodney O'Neal),Business Products and Services (B2B),Commercial Products
Acer Cloud Technology,GIGACLOUD TECHNOLOGY INC,41507,GCT,82.92682926829268,12-Jan-2012,2012,150.00,,IT Consulting and Outsourcing,Acer Group (TAI: 2353),Information Technology,IT Services
