pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
BellSouth,BELLSOUTH CORP,2146,BLS,100.0,29-Dec-2006,2006,"86,000.00",,Telecommunications Service Providers,AT&T (NYS: T) (Edward Whiteacre),Information Technology,Communications and Networking
Celgene,CELGENE CORP,13599,CELG,100.0,20-Nov-2019,2019,"80,269.00",,Drug Discovery,Bristol-Myers Squibb (NYS: BMY) (Giovanni Caforio),Healthcare,Pharmaceuticals and Biotechnology
Time Warner Cable,TIME WARNER CABLE INC,176404,TWC,100.0,18-May-2016,2016,"78,000.00",,Cable Service Providers,Charter Communications (NAS: CHTR) (Thomas Rutledge),Information Technology,Communications and Networking
Aetna,AETNA INC,1177,AET,100.0,28-Nov-2018,2018,"70,000.00",,Managed Care,CVS Health (NYS: CVS) (Larry Merlo),Healthcare,Healthcare Services
Wyeth,WYETH,1478,WYE,100.0,15-Oct-2009,2009,"68,000.00",,Pharmaceuticals,Pfizer (Pharmaceuticals) (NYS: PFE) (Jeffrey Kindler),Healthcare,Pharmaceuticals and Biotechnology
DirecTV,DIRECTV,12206,DTV.2,100.0,24-Jul-2015,2015,"67,100.00",Public to Private,"Broadcasting, Radio and Television",AT&T (NYS: T) (Randall Stephenson),Consumer Products and Services (B2C),Media
Monsanto,MONSANTO CO,140760,MON.1,84.21052631578947,07-Jun-2018,2018,"63,000.00",,Other Agriculture,Bayer (Conglomerates) (ETR: BAYN) (Werner Baumann),Materials and Resources,Agriculture
Kraft Foods Group,KRAFT FOODS GROUP INC,12978,KRFT,100.0,02-Jul-2015,2015,"55,000.00",,Food Products,The Kraft Heinz (NAS: KHC) (Alexandre Behring),Consumer Products and Services (B2C),Consumer Non-Durables
Gillette,GILLETTE CO,5169,G.1,84.21052631578947,01-Oct-2005,2005,"53,430.00",,Personal Products,Procter & Gamble (NYS: PG),Consumer Products and Services (B2C),Consumer Non-Durables
Express Scripts,EXPRESS SCRIPTS HOLDING CO,25356,ESRX,90.9090909090909,20-Dec-2018,2018,"52,810.00",,Other Healthcare Services,The Cigna Group (NYS: CI) (David Cordani),Healthcare,Healthcare Services
Schering-Plough,SCHERING-PLOUGH,9459,SGP.1,100.0,03-Nov-2009,2009,"49,572.00",,Pharmaceuticals,Merck & Co. (NYS: MRK) (Richard Clark),Healthcare,Pharmaceuticals and Biotechnology
Reynolds American,REYNOLDS AMERICAN INC,120877,RAI,100.0,25-Jul-2017,2017,"49,000.00",,Other Consumer Non-Durables,British American Tobacco (LON: BATS) (Nicandro Durante),Consumer Products and Services (B2C),Consumer Non-Durables
Worldpay,WORLDPAY INC,194956,WP,100.0,31-Jul-2019,2019,"48,245.00",Public to Private,Financial Software,Fidelity National Information Services (NYS: FIS) (Gary Norcross),Information Technology,Software
Praxair,PAXAR CORP,8293,PXR.1,83.33333333333334,31-Oct-2018,2018,"43,288.00",,Energy Transportation,Linde (NAS: LIN),Energy,Energy Services
XTO Energy,XTO ENERGY INC,28256,XTO,100.0,25-Jun-2010,2010,"41,000.00",,Energy Exploration,Exxon Mobil (NYS: XOM) (Rex Tillerson),Energy,"Exploration, Production and Refining"
Sprint,SPRINT CORP,10984,S.4,100.0,01-Apr-2020,2020,"40,827.00",,Telecommunications Service Providers,T-Mobile US (NAS: TMUS) (John Legere),Information Technology,Communications and Networking
First Data,FIRST DATA CORP,25157,FDC,100.0,29-Jul-2019,2019,"38,279.38",,Financial Software,Fiserv (NAS: FISV) (Jeffery Yabuki),Information Technology,Software
El Paso,EL PASO CORP,4242,EP.1,100.0,24-May-2012,2012,"38,000.00",,Energy Transportation,Kinder Morgan (NYS: KMI),Energy,Energy Services
Precision Castparts,PRECISION CASTPARTS CORP,8717,PCP,100.0,29-Jan-2016,2016,"37,200.00",,Industrial Supplies and Parts,Berkshire Hathaway (NYS: BRK.A) (Warren Buffett),Business Products and Services (B2B),Commercial Products
Broadcom,BROADCOM CORP,66708,BRCM,100.0,01-Feb-2016,2016,"37,000.00",,General Purpose Semiconductors,Broadcom (General Purpose Semiconductors) (NAS: AVGO) (Anthony Maslowski),Information Technology,Semiconductors
L3 Technologies,L3 TECHNOLOGIES INC,110685,LLL.1,100.0,29-Jun-2019,2019,"37,000.00",,Aerospace and Defense,L3 Harris Technologies (NYS: LHX) (William Brown),Business Products and Services (B2B),Commercial Products
Anadarko Petroleum,ANADARKO PETROLEUM CORP,11923,APC.1,100.0,08-Aug-2019,2019,"35,704.00",,Energy Exploration,Occidental Petroleum (NYS: OXY) (Vicki Hollub),Energy,"Exploration, Production and Refining"
Level 3 Communications,LEVEL 3 COMMUNICATIONS INC,13440,LVLT,100.0,01-Nov-2017,2017,"34,000.00",,Systems and Information Management,Lumen Technologies (NYS: LUMN) (Glen Post),Information Technology,IT Services
Red Hat,RED HAT INC,122841,RHT,100.0,09-Jul-2019,2019,"34,000.00",,Systems and Information Management,International Business Machines (NYS: IBM) (Arvind Krishna),Information Technology,IT Services
SunTrust Bank,SUNTRUST BANKS INC,10187,STI.1,96.2962962962963,06-Dec-2019,2019,"33,547.00",,National Banks,Truist Financial (NYS: TFC) (William Rogers),Financial Services,Commercial Banks
Raytheon,RAYTHEON CO,8972,RTN,84.21052631578947,03-Apr-2020,2020,"33,166.00",,Aerospace and Defense,,Business Products and Services (B2B),Commercial Products
Baxalta,BAXALTA INC,22734,BXLT,100.0,03-Jun-2016,2016,"32,000.00",,Biotechnology,Shire (Ian Karp),Healthcare,Pharmaceuticals and Biotechnology
Medco Health Solutions,MEDCO HEALTH SOLUTIONS INC,7186,MHS,100.0,02-Apr-2012,2012,"29,100.00",,Other Healthcare Services,Express Scripts (George Paz),Healthcare,Healthcare Services
Spectra Energy,SPECTRA ENERGY CORP,176282,SE.7,100.0,27-Feb-2017,2017,"28,633.53",,Energy Transportation,Enbridge (TSE: ENB) (Al Monaco),Energy,Energy Services
Tyco International,TYCO INTERNATIONAL PLC,10787,TYC,100.0,02-Sep-2016,2016,"28,320.00",,Other Hardware,Johnson Controls International (NYS: JCI) (Alex Molinaroli),Information Technology,Computer Hardware
Alltel,ALLTEL CORP,1318,AT.2,100.0,09-Jan-2009,2009,"28,100.00",,Telecommunications Service Providers,Verizon Wireless,Information Technology,Communications and Networking
Forest Laboratories,CORE LABORATORIES INC,61759,CLB,88.88888888888889,01-Jul-2014,2014,"28,000.00",,Pharmaceuticals,Allergan,Healthcare,Pharmaceuticals and Biotechnology
Lorillard,LORILLARD INC,147175,LO,100.0,12-Jun-2015,2015,"27,400.00",,Other Consumer Non-Durables,Reynolds American (Susan Cameron),Consumer Products and Services (B2C),Consumer Non-Durables
LinkedIn,LINKEDIN CORP,186342,LNKD,100.0,08-Dec-2016,2016,"27,131.51",,Social/Platform Software,Microsoft (NAS: MSFT) (Marc Brown),Information Technology,Software
Guidant,GUIDANT CORP,31166,GDT.1,100.0,21-Apr-2006,2006,"27,000.00",,Other Devices and Supplies,Boston Scientific (NYS: BSX),Healthcare,Healthcare Devices and Supplies
Burlington Northern Santa Fe,BURLINGTON NORTHERN SANTA FE,2490,BRK3,100.0,12-Feb-2010,2010,"26,500.00",,Rail,Berkshire Hathaway (NYS: BRK.A) (Warren Buffett),Business Products and Services (B2B),Commercial Transportation
Thinkorswim,THINKORSWIM GROUP INC,66325,SWIM.1,100.0,01-Oct-2020,2020,"26,000.00",Corporate Divestiture,Brokerage,The Charles Schwab (NYS: SCHW),,
Golden West Financial,GOLDEN WEST FINANCIAL CORP,5216,GDW,100.0,02-Oct-2006,2006,"25,500.00",Public to Private,Holding Companies,Wachovia Bank (Ken Thompson),Financial Services,Other Financial Services
Total System Services,TOTAL SYSTEM SERVICES INC,10631,TSS,100.0,18-Sep-2019,2019,"24,500.00",,Financial Software,Global Payments (NYS: GPN) (Jeffrey Sloan),Information Technology,Software
St. Jude Medical,ST JUDE MEDICAL INC,9372,STJ,100.0,04-Jan-2017,2017,"23,600.00",,Therapeutic Devices,Abbott (NYS: ABT) (Miles White),Healthcare,Healthcare Devices and Supplies
TD Ameritrade,TD AMERITRADE HOLDING CORP,64552,AMTD.,100.0,06-Oct-2020,2020,"22,000.00",,Brokerage,The Charles Schwab (NYS: SCHW) (Walter Bettinger),Financial Services,Capital Markets/Institutions
Sprint,SPRINT CORP,10984,S.4,100.0,10-Jul-2013,2013,"21,600.00",,Telecommunications Service Providers,SoftBank Group (TKS: 9984) (Masayoshi Son),Information Technology,Communications and Networking
Georgia-Pacific,GEORGIA-PACIFIC CORP,5134,GP.1,100.0,23-Dec-2005,2005,"21,000.00",Public to Private,Forestry Processing,Koch,Materials and Resources,Forestry
Pharmacyclics,PHARMACYCLICS INC,61448,PCYC,100.0,26-May-2015,2015,"20,770.00",,Drug Discovery,AbbVie (NYS: ABBV) (Richard Gonzalez),Healthcare,Pharmaceuticals and Biotechnology
Immunomedics,IMMUNOMEDICS INC,5902,IMMU,100.0,23-Oct-2020,2020,"20,597.00",Public to Private,Drug Discovery,Gilead (NAS: GILD) (Daniel O'Day),Healthcare,Pharmaceuticals and Biotechnology
CA Technologies,CASH TECHNOLOGIES INC,112402,CTQN,93.75,05-Nov-2018,2018,"18,800.00",,Other Commercial Services,Broadcom (General Purpose Semiconductors) (NAS: AVGO) (Thomas Krause),Business Products and Services (B2B),Commercial Services
Progress Energy,PROGRESS ENERGY INC,2783,DUK8,100.0,02-Jul-2012,2012,"18,071.00",,Electric Utilities,Duke Energy (NYS: DUK) (James Rogers),Energy,Utilities
GlobalSantaFe,GLOBALSANTAFE CORP,5187,GSF.2,100.0,23-Nov-2007,2007,"18,000.00",,Energy Exploration,Transocean (NYS: RIG),Energy,"Exploration, Production and Refining"
Regency Energy Partners,REGENCY ENERGY PARTNERS LP,165699,RGP.,93.87755102040816,30-Apr-2015,2015,"18,000.00",,Energy Production,Energy Transfer (Acquired in 2017) (Austin Lutz),Energy,"Exploration, Production and Refining"
Unocal,UNOCAL CORP,11038,UCL.1,100.0,04-Apr-2005,2005,"18,000.00",,Energy Exploration,Chevron (NYS: CVX) (Dave O' Reilly),Energy,"Exploration, Production and Refining"
Mead Johnson Nutrition,MEAD JOHNSON NUTRITION CO,180833,MJN,93.61702127659575,15-Jun-2017,2017,"17,900.00",,Food Products,Reckitt Benckiser Group (LON: RKT) (Rakesh Kapoor),Consumer Products and Services (B2C),Consumer Non-Durables
Adelphia Communications,CITADEL COMMUNICATIONS CORP,112184,CITC.,84.44444444444444,31-Jul-2006,2006,"17,600.00",,Cable Service Providers,"Comcast (NAS: CMCSA) (Brian Roberts), Warner Media",Information Technology,Communications and Networking
WellCare Health Plans,WELLCARE HEALTH PLANS INC,260778,WCG,100.0,23-Jan-2020,2020,"17,300.00",Public to Private,Managed Care,Centene (NYS: CNC) (Michael Neidorff),Healthcare,Healthcare Services
Whole Foods Market,WHOLE FOODS MARKET INC,24893,WFM,100.0,28-Aug-2017,2017,"16,945.00",,Specialty Retail,Amazon.com (NAS: AMZN) (Jeffrey Bezos),Consumer Products and Services (B2C),Retail
Goodrich,GOODRICH CORP,5229,GR,100.0,26-Jul-2012,2012,"16,500.00",,Aerospace and Defense,RTX (NYS: RTX),Business Products and Services (B2B),Commercial Products
Linear Technology,LINEAR TECHNOLOGY CORP,12216,LLTC,100.0,10-Mar-2017,2017,"15,800.00",,General Purpose Semiconductors,Analog Devices (NAS: ADI) (Vincent Roche),Information Technology,Semiconductors
Tableau Software,TABLEAU SOFTWARE INC,17695,DATA,100.0,01-Aug-2019,2019,"15,528.25",,Business/Productivity Software,Salesforce (NYS: CRM) (Marc Benioff),,
Invitrogen,ENVIROGEN INC,25640,3ENVG,84.21052631578947,04-Feb-2014,2014,"15,303.80",,Biotechnology,Thermo Fisher Scientific (NYS: TMO),Healthcare,Pharmaceuticals and Biotechnology
Medivation,MEDIVATION INC,164266,MDVN,100.0,28-Sep-2016,2016,"14,300.00",,Drug Discovery,Pfizer (Pharmaceuticals) (NYS: PFE) (Ian Read),Healthcare,Pharmaceuticals and Biotechnology
Andeavor Logistics,ANDEAVOR LOGISTICS LP,186206,ANDX,92.3076923076923,30-Jul-2019,2019,"14,000.00",,Logistics,MPLX (NYS: MPLX) (Gary Heminger),Business Products and Services (B2B),Commercial Services
MedImmune,MEDIMMUNE INC,24008,MEDI.1,100.0,19-Jun-2007,2007,"13,791.00",,Biotechnology,AstraZeneca (LON: AZN),Healthcare,Pharmaceuticals and Biotechnology
Pall,PALL CORP,8304,PLL.1,100.0,31-Aug-2015,2015,"13,600.00",,Other Commercial Products,Danaher (NYS: DHR) (Thomas Joyce),Business Products and Services (B2B),Commercial Products
Veritas Technologies,VERSO TECHNOLOGIES INC,25976,VRSOQ,89.47368421052632,02-Jul-2005,2005,"13,500.00",Public to Private,Business/Productivity Software,Gen Digital (NAS: GEN) (John Thompson),Information Technology,Software
ZF TRW Automotive Holdings,TRW AUTOMOTIVE HOLDINGS CORP,157415,TRW,90.32258064516128,15-May-2015,2015,"13,500.00",Public to Private,Automotive,ZF Friedrichshafen,Consumer Products and Services (B2C),Transportation
Airgas,AIRGAS INC,12950,ARG,100.0,23-May-2016,2016,"13,400.00",Public to Private,Specialty Chemicals,Air Liquide (PAR: AI) (Benoit Potier),Materials and Resources,Chemicals and Gases
Markwest Energy Partners,MARKWEST ENERGY PARTNERS LP,148770,MWE,94.11764705882352,04-Dec-2015,2015,"13,378.45",,Gas Utilities,MPLX (NYS: MPLX),Energy,Utilities
MyoKardia,MYOKARDIA INC,26269,MYOK,100.0,17-Nov-2020,2020,"13,100.00",,Drug Discovery,Bristol-Myers Squibb (NYS: BMY) (Giovanni Caforio),Healthcare,Pharmaceuticals and Biotechnology
Columbia Pipeline Group,COLUMBIA PIPELINE GROUP INC,23827,CPGX,100.0,01-Jul-2016,2016,"13,000.00",Public to Private,Energy Transportation,TC Energy (TSE: TRP) (Russell Girling),Energy,Energy Services
Electronic Data Systems,ELECTRONIC DATA SYSTEMS CORP,5074,EDS.,100.0,26-Aug-2008,2008,"13,000.00",,Systems and Information Management,HP (NYS: HPQ),Information Technology,IT Services
Cameron International,CAMERON INTERNATIONAL CORP,60894,CAM.4,100.0,01-Apr-2016,2016,"12,803.00",,Oil and Gas Equipment,SLB (Other Energy Services) (NYS: SLB) (William Batzer),Energy,Energy Equipment
Catamaran,CATAMARAN CORP,31616,CTRX,100.0,23-Jul-2015,2015,"12,800.00",Public to Private,Enterprise Systems (Healthcare),OptumRx,Healthcare,Healthcare Technology Systems
Liberty Property Trust,LIBERTY PROPERTY TRUST,30354,LPT,100.0,04-Feb-2020,2020,"12,600.00",,Real Estate Investment Trusts (REITs),Prologis (NYS: PLD) (Hamid Moghadam),Financial Services,Other Financial Services
Cooper Industries,COOPER INDUSTRIES PLC,3497,CBE,100.0,30-Nov-2012,2012,"12,573.20",,Distributors/Wholesale,Eaton (NYS: ETN) (Alexander Cutler),Business Products and Services (B2B),Commercial Products
CareFusion,CAREFUSION CORP,183257,CFN,100.0,17-Mar-2015,2015,"12,538.00",,Enterprise Systems (Healthcare),"Becton, Dickinson and Company (NYS: BDX) (Vincent Forlenza)",Healthcare,Healthcare Technology Systems
Motorola Mobility,MOTOROLA MOBILITY HLDGS INC,186106,MMI.3,85.0,15-Aug-2011,2011,"12,500.00",Public to Private,Electronics (B2C),Alphabet (NAS: GOOGL),Consumer Products and Services (B2C),Consumer Durables
Activision Blizzard,ACTIVISION BLIZZARD INC,180405,ATVI,100.0,08-Jul-2008,2008,"12,482.40",,Entertainment Software,Vivendi (PAR: VIV) (Jean-Bernard Levy),Information Technology,Software
Qwest Communications International,QWEST COMMUNICATION INTL INC,61489,Q.2,97.43589743589743,01-Apr-2011,2011,"12,273.00",,Telecommunications Service Providers,Lumen Technologies (NYS: LUMN),Information Technology,Communications and Networking
Lubrizol,LUBRIZOL CORP,6830,LZ.1,100.0,01-Sep-2011,2011,"12,200.94",,Multi-line Chemicals,Berkshire Hathaway (NYS: BRK.A) (Warren Buffett),Materials and Resources,Chemicals and Gases
Starwood Hotels & Resorts Worldwide,STARWOOD HOTELS&RESORTS WRLD,5723,HOT,85.71428571428572,23-Sep-2016,2016,"12,200.00",,Hotels and Resorts,Marriott International (NAS: MAR) (Arne Sorenson),Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Scripps Networks Interactive,SCRIPPS NETWORKS INTERACTIVE,180167,SNI.1,100.0,06-Mar-2018,2018,"12,013.00",,Media and Information Services (B2B),Warner Bros. Discovery (NAS: WBD) (David Zaslav),Business Products and Services (B2B),Commercial Services
Antares Capital,ARES CAPITAL CORP,161966,ARCC,88.88888888888889,21-Aug-2015,2015,"12,000.00",Corporate Divestiture,Private Equity,CPP Investments (Mark Jenkins),Financial Services,Capital Markets/Institutions
Post Properties,POST PROPERTIES INC,28608,PPS,100.0,01-Dec-2016,2016,"12,000.00",,Buildings and Property,Mid-America Apartment Communities (NYS: MAA) (H. Bolton),Business Products and Services (B2B),Other Business Products and Services
Keyspan,KEYSPAN CORP,6799,KSE,100.0,01-Jan-2006,2006,"11,800.00",,Energy Marketing,National Grid (LON: NG.) (Steve Holliday),Energy,Energy Services
Viacom,VIACOM INC,165675,VIAB,100.0,04-Dec-2019,2019,"11,700.00",Corporate Divestiture,"Movies, Music and Entertainment",Paramount Skydance (NAS: PSKY) (Joseph Ianniello),Consumer Products and Services (B2C),Media
Bioverativ Therapeutics,BIORA THERAPEUTICS INC,36619,BIORQ,85.71428571428572,08-Mar-2018,2018,"11,600.00",,Biotechnology,Sanofi (PAR: SAN) (Olivier Brandicourt),Healthcare,Pharmaceuticals and Biotechnology
Freescale Semiconductor,FREESCALE SEMICONDUCTOR INC,157858,BX1,100.0,07-Dec-2015,2015,"11,600.00",,General Purpose Semiconductors,NXP Semiconductors (NAS: NXPI),Information Technology,Semiconductors
Allied Waste Industries,ALLIED WASTE INDUSTRIES INC,22140,AW,100.0,24-Jun-2008,2008,"11,503.00",,Environmental Services (B2B),Republic Services (NYS: RSG),Business Products and Services (B2B),Commercial Services
ICE Mortgage technology,MONTAGE TECHNOLOGY GROUP LTD,18593,MONT,82.92682926829268,04-Sep-2020,2020,"11,418.00",,Business/Productivity Software,Intercontinental Exchange (NYS: ICE) (Jeffrey Sprecher),Information Technology,Software
Array BioPharma,ARRAY BIOPHARMA INC,141197,ARRY.1,100.0,30-Jul-2019,2019,"11,400.00",,Drug Discovery,Pfizer (Pharmaceuticals) (NYS: PFE) (Albert Bourla),Healthcare,Pharmaceuticals and Biotechnology
Forest City Realty Trust,FOREST CITY REALTY TRUST INC,4842,FCE.A,100.0,07-Dec-2018,2018,"11,400.00",,Buildings and Property,Brookfield Corporation (TSE: BN),Business Products and Services (B2B),Other Business Products and Services
Big Heart Pet Brands,BIG HEART PET BRANDS,24283,0161A,100.0,23-Mar-2015,2015,"11,300.00",,Other Consumer Non-Durables,The J.M. Smucker Company (NYS: SJM) (Peter Farah),Consumer Products and Services (B2C),Consumer Non-Durables
ITC Holdings,ITC HOLDINGS CORP,163669,ITC1,100.0,14-Oct-2016,2016,"11,300.00",,Electric Utilities,"Fortis (Electric Utility) (TSE: FTS) (Barry Perry), GIC Private",Energy,Utilities
Cole Real Estate Investments,COLE REAL ESTATE INVESTMENTS,4606,COLE,100.0,07-Feb-2014,2014,"11,200.00",,Real Estate Investment Trusts (REITs),VEREIT,Financial Services,Other Financial Services
Pharmasset,PHARMASSET INC,174507,VRUS.1,100.0,21-Nov-2011,2011,"11,200.00",,Drug Discovery,Gilead (NAS: GILD) (John Martin),Healthcare,Pharmaceuticals and Biotechnology
Kite Pharma,KITE PHARMA INC,20643,KITE,100.0,03-Oct-2017,2017,"11,155.00",,Biotechnology,Gilead (NAS: GILD) (John Milligan),Healthcare,Pharmaceuticals and Biotechnology
GE Transportation,CSX TRANSPORTATION INC,9537,CSX3,85.71428571428572,25-Feb-2019,2019,"11,100.00",,Rail,Westinghouse Air Brake Technologies (NYS: WAB) (Albert Neupaver),Business Products and Services (B2B),Commercial Transportation
The May Department Stores Company,MAY DEPARTMENT STORES CO,7127,MAY.2,85.71428571428572,30-Aug-2005,2005,"11,000.00",,Department Stores,Macy's (NYS: M),Consumer Products and Services (B2C),Retail
US Airways,US AIRWAYS GROUP INC,1382,LCC,100.0,09-Dec-2013,2013,"11,000.00",,Air,American Airlines (NAS: AAL),Consumer Products and Services (B2C),Transportation
Salix Pharmaceuticals,SALIX PHARMACEUTICALS LTD,62977,SLXP,100.0,01-Apr-2015,2015,"10,960.00",,Drug Discovery,Bausch Health Companies (TSE: BHC) (Michael Pearson),Healthcare,Pharmaceuticals and Biotechnology
Pinnacle Foods,PINNACLE FOODS INC,185334,PF,100.0,26-Oct-2018,2018,"10,900.00",,Food Products,Conagra Brands (NYS: CAG) (Sean Connolly),Consumer Products and Services (B2C),Consumer Non-Durables
TECO Energy,TECO ENERGY INC,10277,TE.1,100.0,01-Jul-2016,2016,"10,426.80",Public to Private,Holding Companies,Emera (TSE: EMA) (Christopher Huskilson),Financial Services,Other Financial Services
C2 Aviation Capital,C2 AVIATION CAPITAL INC -SPN,27801,CTWO.WI,88.37209302325581,04-Apr-2017,2017,"10,400.00",Corporate Divestiture,Air,Avolon Aerospace (Dómhnal Slattery),Business Products and Services (B2B),Commercial Transportation
IMS Health Holdings,IMS HEALTH HOLDINGS INC,63800,IMS,100.0,03-Oct-2016,2016,"10,400.00",,Enterprise Systems (Healthcare),IQVIA (NYS: IQV),Healthcare,Healthcare Technology Systems
Juno Therapeutics,JUNO THERAPEUTICS INC,22230,JUNO,100.0,06-Mar-2018,2018,"10,400.00",,Biotechnology,"Celgene (Mark Alles), Memorial Sloan Kettering Cancer Center",Healthcare,Pharmaceuticals and Biotechnology
Petrohawk Energy,PETROHAWK ENERGY CORP,121934,BHP1,100.0,31-Oct-2018,2018,"10,302.00",Corporate Divestiture,Energy Exploration,BP (London) (LON: BP.) (Robert Dudley),Energy,"Exploration, Production and Refining"
Microsemi,MICROSEMI CORP,7346,MSCC,100.0,29-May-2018,2018,"10,150.00",,Application Specific Semiconductors,Microchip Technology (NAS: MCHP) (Steven Sanghi),Information Technology,Semiconductors
Cypress Semiconductor,CYPRESS SEMICONDUCTOR CORP,12215,CY,100.0,16-Apr-2020,2020,"10,000.00",,General Purpose Semiconductors,Infineon Technologies (ETR: IFX) (Reinhard Ploss),Information Technology,Semiconductors
Kinder Morgan Management,KINDER MORGAN MANAGEMENT LLC,143640,KMR,100.0,26-Nov-2014,2014,"9,987.00",,Energy Transportation,Kinder Morgan (NYS: KMI),Energy,Energy Services
PeopleSoft,PEOPLESOFT INC,25944,PSFT.,100.0,07-Jan-2005,2005,"9,957.00",,Business/Productivity Software,Oracle (NYS: ORCL),Information Technology,Software
Smith International,SMITH INTERNATIONAL INC,9772,SII.1,100.0,27-Aug-2010,2010,"9,828.00",,Industrial Supplies and Parts,SLB (Other Energy Services) (NYS: SLB) (Andrew Gould),Business Products and Services (B2B),Commercial Products
Onyx Pharmaceuticals,ONYX PHARMACEUTICALS INC,62826,ONXX,100.0,01-Oct-2013,2013,"9,714.00",,Drug Discovery,Amgen (NAS: AMGN) (Robert Bradway),Healthcare,Pharmaceuticals and Biotechnology
CSRA,CSRA INC,26304,CSRA,100.0,03-Apr-2018,2018,"9,600.00",,Consulting Services (B2B),General Dynamics (NYS: GD) (Phebe Novakovic),Business Products and Services (B2B),Commercial Services
Cubist Pharmaceuticals,CUBIST PHARMACEUTICALS INC,63866,CBST,100.0,21-Jan-2015,2015,"9,500.00",,Pharmaceuticals,Merck & Co. (NYS: MRK) (Kenneth Frazier),Healthcare,Pharmaceuticals and Biotechnology
Nextel Partners,NEXTEL PARTNERS INC,130766,NXTP.1,100.0,26-Jun-2006,2006,"9,462.90",,Telecommunications Service Providers,Sprint (Gary Forsee),Information Technology,Communications and Networking
Energy Future Holdings,ENERGY FUTURE HOLDINGS CORP,10507,0033A,100.0,09-Mar-2018,2018,"9,450.00",,Other Services (B2C Non-Financial),Sempra (NYS: SRE),Consumer Products and Services (B2C),Services (Non-Financial)
Oncor Electric Delivery,ONCOR ELECTRIC DELIVERY CO,155970,TXU3,93.87755102040816,08-Mar-2018,2018,"9,450.00",,Electric Utilities,Sempra (NYS: SRE) (Debra Reed-Klages),Energy,Utilities
NYMEX,NYMEX HOLDINGS INC,176048,NMX.1,100.0,22-Aug-2008,2008,"9,438.00",,Other Capital Markets/Institutions,CME Group (NAS: CME),Financial Services,Capital Markets/Institutions
InterMune,INTERMUNE INC,133246,ITMN,100.0,29-Sep-2014,2014,"9,396.74",,Drug Discovery,Roche (SWX: ROG) (Daniel O'Day),Healthcare,Pharmaceuticals and Biotechnology
CalAtlantic Group,CALATLANTIC GROUP INC,10002,CAA,100.0,12-Feb-2018,2018,"9,300.00",,Construction and Engineering,Lennar (NYS: LEN) (Stuart Miller),Business Products and Services (B2B),Commercial Services
Oneok Partners,ONEOK PARTNERS -LP,28919,OKS,87.5,30-Jun-2017,2017,"9,300.00",,Energy Traders and Brokers,ONEOK (NYS: OKE) (Terry Spencer),Energy,Energy Services
Energen,ENERGEN CORP,4351,EGN,100.0,29-Nov-2018,2018,"9,200.00",,Energy Exploration,Diamondback Energy (NAS: FANG) (Travis Stice),Energy,"Exploration, Production and Refining"
Orbital ATK,ORBITAL ATK INC,23220,OA,100.0,05-Jun-2018,2018,"9,200.00",,Aerospace and Defense,Northrop Grumman (NYS: NOC) (Wesley Bush),Business Products and Services (B2B),Commercial Products
Qualtrics,QUALTRICS INTERNATIONAL INC,34326,XM,100.0,23-Jan-2019,2019,"9,138.36",,Business/Productivity Software,SAP (Business/Productivity Software) (ETR: SAP) (William Mcdermott),Information Technology,Software
Family Dollar Stores,FAMILY DOLLAR STORES,4560,FDO,100.0,06-Jul-2015,2015,"9,100.00",Public to Private,General Merchandise Stores,Dollar Tree (NAS: DLTR) (Gary Philbin),Consumer Products and Services (B2C),Retail
Optimum,OPTIUM CORP,175395,OPTM,92.3076923076923,20-Dec-2015,2015,"9,100.00",,Telecommunications Service Providers,Altice,Information Technology,Communications and Networking
IDEAL Technology,LINEAR TECHNOLOGY CORP,12216,LLTC,84.84848484848484,31-Jan-2013,2013,"9,000.00",,Database Software,Keyw,Information Technology,Software
Valspar,VALSPAR CORP,11096,VAL.1,100.0,01-Jun-2017,2017,"8,900.00",,Industrial Supplies and Parts,The Sherwin-Williams (NYS: SHW) (John Morikis),Business Products and Services (B2B),Commercial Products
Barr Pharmaceuticals,BARR PHARMACEUTICALS INC,13365,BRL,100.0,23-Dec-2008,2008,"8,833.00",,Pharmaceuticals,Teva Pharmaceutical Industries (TAE: TEVA),Healthcare,Pharmaceuticals and Biotechnology
Bucyrus International,BUCYRUS INTERNATIONAL INC,24363,BUCY,100.0,08-Jul-2011,2011,"8,800.00",,Machinery (B2B),Caterpillar (NYS: CAT) (Steven Wunning),Business Products and Services (B2B),Commercial Products
Towers Watson,TOWERS WATSON & CO,29887,TW.3,83.87096774193549,04-Jan-2016,2016,"8,723.00",,Consulting Services (B2B),Willis Towers Watson (NAS: WTW) (Dominic Casserley),Business Products and Services (B2B),Commercial Services
AveXis,AVEXIS INC,26818,AVXS,100.0,15-May-2018,2018,"8,700.00",,Drug Discovery,Novartis (SWX: NOVN) (Vasant Narasimhan),Healthcare,Pharmaceuticals and Biotechnology
HD Supply,HD SUPPLY HOLDINGS INC,17812,HDS,100.0,24-Dec-2020,2020,"8,692.00",,Distributors/Wholesale,The Home Depot (NYS: HD) (Craig Menear),Business Products and Services (B2B),Commercial Products
